index,pts_time,pkt_pts_time,pkt_dts_time,best_effort_timestamp_time,key_frame,pict_type,pkt_size,width,height
87,8.699211,,8.699211,8.699211,0,P,24087.0,1280.0,640.0
88,8.799222,,8.799222,8.799222,0,P,30573.0,1280.0,640.0
89,8.899233,,8.899233,8.899233,0,P,23900.0,1280.0,640.0
90,8.999244,,8.999244,8.999244,1,I,68965.0,1280.0,640.0
91,9.099256,,9.099256,9.099256,0,P,33515.0,1280.0,640.0
92,9.199267,,9.199267,9.199267,0,P,30327.0,1280.0,640.0
93,9.299278,,9.299278,9.299278,0,P,24281.0,1280.0,640.0
94,9.399289,,9.399289,9.399289,0,P,31052.0,1280.0,640.0
95,9.499167,,9.499167,9.499167,0,P,24386.0,1280.0,640.0
96,9.599178,,9.599178,9.599178,0,P,25760.0,1280.0,640.0
97,9.699189,,9.699189,9.699189,0,P,30665.0,1280.0,640.0
98,9.7992,,9.7992,9.7992,0,P,30470.0,1280.0,640.0
99,9.899211,,9.899211,9.899211,0,P,30072.0,1280.0,640.0
100,9.999222,,9.999222,9.999222,1,I,67099.0,1280.0,640.0
101,10.099233,,10.099233,10.099233,0,P,31480.0,1280.0,640.0
102,10.199244,,10.199244,10.199244,0,P,29183.0,1280.0,640.0
103,10.299256,,10.299256,10.299256,0,P,29446.0,1280.0,640.0
104,10.399111,,10.399111,10.399111,0,P,29683.0,1280.0,640.0
105,10.499078,,10.499078,10.499078,0,P,30228.0,1280.0,640.0
106,10.599044,,10.599044,10.599044,0,P,29759.0,1280.0,640.0
107,10.699011,,10.699011,10.699011,0,P,29766.0,1280.0,640.0
108,10.799156,,10.799156,10.799156,0,P,30582.0,1280.0,640.0
109,10.899089,,10.899089,10.899089,0,P,30692.0,1280.0,640.0
110,10.999022,,10.999022,10.999022,1,I,68981.0,1280.0,640.0
111,11.098956,,11.098956,11.098956,0,P,33461.0,1280.0,640.0
112,11.199044,,11.199044,11.199044,0,P,30981.0,1280.0,640.0
113,11.299022,,11.299022,11.299022,0,P,24873.0,1280.0,640.0
114,11.399,,11.399,11.399,0,P,25603.0,1280.0,640.0
115,11.498978,,11.498978,11.498978,0,P,32202.0,1280.0,640.0
116,11.598956,,11.598956,11.598956,0,P,25643.0,1280.0,640.0
117,11.698933,,11.698933,11.698933,0,P,20866.0,1280.0,640.0
118,11.798911,,11.798911,11.798911,0,P,27831.0,1280.0,640.0
119,11.899033,,11.899033,11.899033,0,P,26845.0,1280.0,640.0
120,11.998867,,11.998867,11.998867,1,I,63870.0,1280.0,640.0
121,12.099044,,12.099044,12.099044,0,P,29122.0,1280.0,640.0
122,12.198833,,12.198833,12.198833,0,P,27514.0,1280.0,640.0
123,12.298867,,12.298867,12.298867,0,P,27460.0,1280.0,640.0
124,12.3989,,12.3989,12.3989,0,P,27183.0,1280.0,640.0
125,12.498822,,12.498822,12.498822,0,P,27925.0,1280.0,640.0
126,12.598744,,12.598744,12.598744,0,P,28288.0,1280.0,640.0
127,12.698789,,12.698789,12.698789,0,P,28314.0,1280.0,640.0
128,12.798833,,12.798833,12.798833,0,P,28378.0,1280.0,640.0
129,12.898744,,12.898744,12.898744,0,P,28989.0,1280.0,640.0
130,12.998656,,12.998656,12.998656,1,I,66307.0,1280.0,640.0
131,13.098733,,13.098733,13.098733,0,P,31855.0,1280.0,640.0
132,13.198689,,13.198689,13.198689,0,P,29493.0,1280.0,640.0
133,13.298644,,13.298644,13.298644,0,P,28603.0,1280.0,640.0
134,13.398789,,13.398789,13.398789,0,P,28660.0,1280.0,640.0
135,13.498711,,13.498711,13.498711,0,P,30165.0,1280.0,640.0
136,13.598633,,13.598633,13.598633,0,P,31663.0,1280.0,640.0
137,13.698556,,13.698556,13.698556,0,P,26332.0,1280.0,640.0
138,13.798644,,13.798644,13.798644,0,P,27808.0,1280.0,640.0
139,13.898622,,13.898622,13.898622,0,P,24673.0,1280.0,640.0
140,13.9986,,13.9986,13.9986,1,I,67692.0,1280.0,640.0
141,14.098578,,14.098578,14.098578,0,P,31984.0,1280.0,640.0
142,14.198556,,14.198556,14.198556,0,P,31401.0,1280.0,640.0
143,14.298411,,14.298411,14.298411,0,P,26691.0,1280.0,640.0
144,14.398433,,14.398433,14.398433,0,P,25654.0,1280.0,640.0
145,14.498456,,14.498456,14.498456,0,P,30333.0,1280.0,640.0
146,14.598478,,14.598478,14.598478,0,P,30732.0,1280.0,640.0
147,14.6985,,14.6985,14.6985,0,P,25182.0,1280.0,640.0
148,14.798989,,14.798989,14.798989,0,P,26619.0,1280.0,640.0
149,14.898444,,14.898444,14.898444,0,P,32519.0,1280.0,640.0
150,14.998944,,14.998944,14.998944,1,I,63127.0,1280.0,640.0
151,15.098456,,15.098456,15.098456,0,P,27364.0,1280.0,640.0
152,15.198422,,15.198422,15.198422,0,P,26464.0,1280.0,640.0
153,15.298389,,15.298389,15.298389,0,P,27483.0,1280.0,640.0
154,15.398356,,15.398356,15.398356,0,P,34098.0,1280.0,640.0
155,15.498322,,15.498322,15.498322,0,P,26134.0,1280.0,640.0
156,15.598289,,15.598289,15.598289,0,P,26906.0,1280.0,640.0
157,15.698256,,15.698256,15.698256,0,P,33233.0,1280.0,640.0
158,15.798222,,15.798222,15.798222,0,P,32257.0,1280.0,640.0
159,15.898311,,15.898311,15.898311,0,P,25304.0,1280.0,640.0
160,15.998289,,15.998289,15.998289,1,I,70048.0,1280.0,640.0
161,16.098267,,16.098267,16.098267,0,P,32290.0,1280.0,640.0
162,16.198244,,16.198244,16.198244,0,P,30049.0,1280.0,640.0
163,16.298222,,16.298222,16.298222,0,P,24194.0,1280.0,640.0
164,16.398833,,16.398833,16.398833,0,P,25288.0,1280.0,640.0
165,16.498256,,16.498256,16.498256,0,P,30412.0,1280.0,640.0
166,16.598322,,16.598322,16.598322,0,P,28820.0,1280.0,640.0
167,16.698389,,16.698389,16.698389,0,P,23997.0,1280.0,640.0
168,16.798344,,16.798344,16.798344,0,P,29955.0,1280.0,640.0
169,16.8983,,16.8983,16.8983,0,P,29018.0,1280.0,640.0
170,16.998467,,16.998467,16.998467,1,I,62230.0,1280.0,640.0
171,17.098378,,17.098378,17.098378,0,P,26558.0,1280.0,640.0
172,17.198289,,17.198289,17.198289,0,P,24237.0,1280.0,640.0
173,17.298333,,17.298333,17.298333,0,P,24104.0,1280.0,640.0
174,17.398378,,17.398378,17.398378,0,P,23326.0,1280.0,640.0
175,17.4983,,17.4983,17.4983,0,P,30352.0,1280.0,640.0
176,17.598222,,17.598222,17.598222,0,P,28792.0,1280.0,640.0
177,17.6987,,17.6987,17.6987,0,P,22794.0,1280.0,640.0
178,17.798322,,17.798322,17.798322,0,P,30472.0,1280.0,640.0
179,17.898789,,17.898789,17.898789,0,P,26014.0,1280.0,640.0
180,17.998278,,17.998278,17.998278,1,I,63273.0,1280.0,640.0
181,18.098289,,18.098289,18.098289,0,P,28268.0,1280.0,640.0
182,18.1983,,18.1983,18.1983,0,P,25850.0,1280.0,640.0
183,18.298311,,18.298311,18.298311,0,P,25796.0,1280.0,640.0
184,18.398322,,18.398322,18.398322,0,P,24183.0,1280.0,640.0
185,18.498333,,18.498333,18.498333,0,P,25413.0,1280.0,640.0
186,18.598222,,18.598222,18.598222,0,P,31679.0,1280.0,640.0
187,18.698111,,18.698111,18.698111,0,P,30784.0,1280.0,640.0
188,18.798233,,18.798233,18.798233,0,P,24354.0,1280.0,640.0
189,18.898356,,18.898356,18.898356,0,P,31826.0,1280.0,640.0
190,18.998211,,18.998211,18.998211,1,I,58722.0,1280.0,640.0
191,19.098178,,19.098178,19.098178,0,P,24491.0,1280.0,640.0
192,19.198144,,19.198144,19.198144,0,P,23249.0,1280.0,640.0
193,19.298111,,19.298111,19.298111,0,P,29814.0,1280.0,640.0
194,19.398078,,19.398078,19.398078,0,P,28076.0,1280.0,640.0
195,19.498044,,19.498044,19.498044,0,P,22438.0,1280.0,640.0
196,19.598356,,19.598356,19.598356,0,P,28890.0,1280.0,640.0
197,19.6981,,19.6981,19.6981,0,P,27887.0,1280.0,640.0
198,19.798089,,19.798089,19.798089,0,P,28369.0,1280.0,640.0
199,19.898078,,19.898078,19.898078,0,P,28095.0,1280.0,640.0
200,19.998067,,19.998067,19.998067,1,I,65364.0,1280.0,640.0
201,20.098056,,20.098056,20.098056,0,P,29827.0,1280.0,640.0
202,20.198044,,20.198044,20.198044,0,P,28116.0,1280.0,640.0
203,20.298033,,20.298033,20.298033,0,P,28903.0,1280.0,640.0
204,20.398022,,20.398022,20.398022,0,P,27750.0,1280.0,640.0
205,20.498011,,20.498011,20.498011,0,P,27274.0,1280.0,640.0
206,20.598,,20.598,20.598,0,P,27647.0,1280.0,640.0
207,20.698389,,20.698389,20.698389,0,P,28217.0,1280.0,640.0
208,20.798022,,20.798022,20.798022,0,P,27853.0,1280.0,640.0
209,20.898011,,20.898011,20.898011,0,P,27911.0,1280.0,640.0
210,20.998,,20.998,20.998,1,I,63247.0,1280.0,640.0
211,21.097989,,21.097989,21.097989,0,P,22232.0,1280.0,640.0
212,21.198322,,21.198322,21.198322,0,P,22412.0,1280.0,640.0
213,21.297978,,21.297978,21.297978,0,P,22752.0,1280.0,640.0
214,21.397944,,21.397944,21.397944,0,P,21794.0,1280.0,640.0
215,21.497911,,21.497911,21.497911,0,P,22035.0,1280.0,640.0
216,21.597878,,21.597878,21.597878,0,P,21478.0,1280.0,640.0
217,21.697844,,21.697844,21.697844,0,P,21651.0,1280.0,640.0
218,21.797989,,21.797989,21.797989,0,P,22287.0,1280.0,640.0
219,21.897856,,21.897856,21.897856,0,P,21876.0,1280.0,640.0
220,21.997944,,21.997944,21.997944,1,I,55345.0,1280.0,640.0
221,22.097911,,22.097911,22.097911,0,P,23020.0,1280.0,640.0
222,22.197878,,22.197878,22.197878,0,P,22326.0,1280.0,640.0
223,22.297844,,22.297844,22.297844,0,P,22843.0,1280.0,640.0
